id,year,name,genre,work_id,translator,publisher,city,country
1,1921,Brazilian Tales,short story ,CL01,Isaac Goldberg,The Four Seas Company,Boston,USA
2,1963,"The Psychiatrist, and Other Stories",short story ,CL02,William Grossman; Helen Caldwell,University of California Press,Los Angeles,USA
3,1977,The Devil's Church and Other Stories,short story ,CL03,Jack Schmitt; Lorie Ishimatsu,University of Texas Press,Austin,USA
4,2008,A Chapter of Hats and Other Stories,short story ,CL04,John Gledson,Bloomsbury,London,UK
5,2012,The Alienist,short story ,CL05,William Grossman,Melville House,Brooklyn,USA
6,2013,The Alienist and Other Stories of Nineteenth-Century Brazil,short story ,CL06,John Charles Chasteen,Hackett Classics,Indianapolis,USA
7,2014,Ex Cathedra: Stories by Machado de Assis — Bilingual Edition,short story ,CL07,Laura Cade Brown; Krista Brune; David George; Linda Ledford-Miller; Ana Lessa-Schmidt; Nelson López Rojas; John Maddox; Adam Morris; Rex Nielson; Leila Osman; Marissel Hernández Romero; Steven Smith; Lisandra Sousa; Luciana Tanure; Nelson Vieira,New London Librarium,Hanover,USA
8,2014,Midnight Mass & Other Stories,short story ,CL08,Juan LePuen,Fario,null,null
9,2016,Miss Dollar: Stories by Machado de Assis — Bilingual Edition,short story ,CL09,Greicy Pinto Bellin; Ana Lessa-Schmidt,New London Librarium,Hanover,USA
10,2018,The Collected Stories of Machado de Assis,short story ,CL10,Margaret Jull Costa; Robin Patterson,Liveright & Company,New York,USA
11,2018,Trio in A-Minor: Five Stories by Machado de Assis — Bilingual Edition,short story ,CL11,Ana Lessa-Schmidt; Glenn Alan Cheney,New London Librarium,Hanover,USA
12,2019,Machado de Assis: 26 Stories,short story ,CL12,Margaret Jull Costa; Robin Patterson,Liveright & Company,New York,USA
13,2020,The Devil's Church,short story ,CL13,M Prado,null,null,null